"","AUSTRALIA","CA","FL","TX","SAB","SAE","UGANDA","URUGUAY"
"AUSTRALIA",NA,NA,NA,NA,NA,NA,NA,NA
"CA",0.0298719478968299,NA,NA,NA,NA,NA,NA,NA
"FL",0.0166405870289365,0.0419466000417878,NA,NA,NA,NA,NA,NA
"TX",0.141731328038391,0.0727581120943955,0.124167818612263,NA,NA,NA,NA,NA
"SAB",0.0516599936222229,0.0740743750129268,0.0615694164989939,0.239751475781787,NA,NA,NA,NA
"SAE",0.106156425642487,0.0785028086229889,0.133701569640373,0.148527847984458,0.078861972681307,NA,NA,NA
"UGANDA",0.00167786897701485,0.0359200008417769,0.0231100735184773,0.132963456486256,0.0582187800471247,0.123869404124322,NA,NA
"URUGUAY",0.0813347908711797,0.0496954681610824,0.110243481926327,0.100917118142008,0.12377374760442,0.161254780078589,0.0818111910321181,NA
