"","AUSTRALIA","CA","FL","TX","SAB","SAE","UGANDA","URUGUAY"
"AUSTRALIA",NA,NA,NA,NA,NA,NA,NA,NA
"CA",0.0664700297571843,NA,NA,NA,NA,NA,NA,NA
"FL",0.0390151128347485,0.0889327209366526,NA,NA,NA,NA,NA,NA
"TX",0.28471676563972,0.14946202155792,0.247539973025516,NA,NA,NA,NA,NA
"SAB",0.103525394773759,0.136910666177146,0.118438877540049,0.39343831923165,NA,NA,NA,NA
"SAE",0.199886071695442,0.14384023974692,0.238955996804072,0.262751966950392,0.134924246329998,NA,NA,NA
"UGANDA",0.00402136169635164,0.0767947391827484,0.0518796356822351,0.262718713300477,0.112515737512678,0.223636913341271,NA,NA
"URUGUAY",0.176410952086539,0.105166000304398,0.223934227202445,0.207984111299155,0.225736071621818,0.282703594293949,0.172035943631074,NA
