"","AUSTRALIA","CA","FL","TX","SAB","SAE","UGANDA","URUGUAY"
"AUSTRALIA",NA,NA,NA,NA,NA,NA,NA,NA
"CA",0.0192251346779463,NA,NA,NA,NA,NA,NA,NA
"FL",0.0115074916537382,0.0251380884189141,NA,NA,NA,NA,NA,NA
"TX",0.0908679510519297,0.0431458983845435,0.0757678221265601,NA,NA,NA,NA,NA
"SAB",0.0281141534901658,0.0351234017663099,0.0312470990141289,0.112441978329665,NA,NA,NA,NA
"SAE",0.055331757677308,0.0367548030366697,0.0646787209583968,0.0718969394608971,0.0313860940081093,NA,NA,NA
"UGANDA",0.00117509492819785,0.0216579545275009,0.0149451472032455,0.0808787725041817,0.0296823823478712,0.0603739126336249,NA,NA
"URUGUAY",0.054570772796827,0.0300630717939552,0.0682490238599567,0.0633120873961524,0.0617769952255015,0.0780498491911404,0.0516705921858411,NA
