"","Hs","Ht","Gst","Gprime_st","D"
"NB40",0.529970161939437,0.637242291901167,0.168338058106111,0.399694703413018,0.26082752631646
"NB46",0.381824837816121,0.397942736272604,0.0405030598308044,0.0744496357867838,0.0297981163037392
"NB27",0.471681377387055,0.493122216252729,0.0434797665953972,0.0934746828628887,0.0463807535787662
"NB5",0.385776367336832,0.417741264224453,0.0765184089413939,0.140834726625943,0.0594755863923974
"NB43",0.160004538537337,0.166345564156899,0.0381195955040979,0.0515827733989016,0.00862729235433927
"NB8",0.70055088149636,0.779342953608675,0.10110064092769,0.380360306824732,0.300712464488288
"NB26",0.579312125850448,0.645638736520005,0.102730221899413,0.275044458628351,0.180185466287674
"NB13",0.466767611701265,0.472717705972744,0.0125869926095429,0.0269288112325434,0.0127526157226284
